Rk,Player,Nation,Pos,Squad,Age,Born,,,,,,,,,,,,,,,,,,,,,,,Matches
0,Patrick-van-Aanholt,NED,DF,Crystal Palace,28,1990,,,,,,,,,,,,,,,,,,,,,,,Matches
1,Max-Aarons,ENG,DF,Norwich City,19,2000,,,,,,,,,,,,,,,,,,,,,,,Matches
2,Tammy-Abraham,ENG,FW,Chelsea,21,1997,,,,,,,,,,,,,,,,,,,,,,,Matches
3,Che-Adams,ENG,FW,Southampton,23,1996,,,,,,,,,,,,,,,,,,,,,,,Matches
4,Adrian,ESP,GK,Liverpool,32,1987,,,,,,,,,,,,,,,,,,,,,,,Matches
5,Sergio-Aguero,ARG,FW,Manchester City,31,1988,,,,,,,,,,,,,,,,,,,,,,,Matches
6,Albian-Ajeti,SUI,MFFW,West Ham,22,1997,,,,,,,,,,,,,,,,,,,,,,,Matches
7,Nathan-Ake,NED,DF,Bournemouth,24,1995,,,,,,,,,,,,,,,,,,,,,,,Matches
8,Marc-Albrighton,ENG,MFDF,Leicester City,29,1989,,,,,,,,,,,,,,,,,,,,,,,Matches
9,Toby-Alderweireld,BEL,DF,Tottenham,30,1989,,,,,,,,,,,,,,,,,,,,,,,Matches
10,Trent-Alexander-Arnold,ENG,DF,Liverpool,20,1998,,,,,,,,,,,,,,,,,,,,,,,Matches
11,Alisson,BRA,GK,Liverpool,26,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
12,Dele-Alli,ENG,MFFW,Tottenham,23,1996,,,,,,,,,,,,,,,,,,,,,,,Matches
13,Miguel-Almiron,PAR,MFFW,Newcastle Utd,25,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
14,Marcos-Alonso,ESP,DF,Chelsea,28,1990,,,,,,,,,,,,,,,,,,,,,,,Matches
15,Steven-Alzate,COL,MFDF,Brighton,20,1998,,,,,,,,,,,,,,,,,,,,,,,Matches
16,Ibrahim-Amadou,FRA,DFMF,Norwich City,26,1993,,,,,,,,,,,,,,,,,,,,,,,Matches
17,Felipe-Anderson,BRA,MFFW,West Ham,26,1993,,,,,,,,,,,,,,,,,,,,,,,Matches
18,Florin-Andone,ROU,MFFW,Brighton,26,1993,,,,,,,,,,,,,,,,,,,,,,,Matches
19,Angelino,ESP,DF,Manchester City,22,1997,,,,,,,,,,,,,,,,,,,,,,,Matches
20,Faustino-Anjorin,ENG,FW,Chelsea,17,2001,,,,,,,,,,,,,,,,,,,,,,,Matches
21,Michail-Antonio,ENG,FW,West Ham,29,1990,,,,,,,,,,,,,,,,,,,,,,,Matches
22,Stuart-Armstrong,SCO,MF,Southampton,27,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
23,Kepa-Arrizabalaga,ESP,GK,Chelsea,24,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
24,Christian-Atsu,GHA,FWMF,Newcastle Utd,27,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
25,Pierre-Emerick-Aubameyang,GAB,FW,Arsenal,30,1989,,,,,,,,,,,,,,,,,,,,,,,Matches
26,Serge-Aurier,CIV,DF,Tottenham,26,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
27,Jordan-Ayew,GHA,FWMF,Crystal Palace,27,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
28,Cesar-Azpilicueta,ESP,DF,Chelsea,29,1989,,,,,,,,,,,,,,,,,,,,,,,Matches
29,Eric-Bailly,CIV,DF,Manchester Utd,25,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
30,Leighton-Baines,ENG,DF,Everton,34,1984,,,,,,,,,,,,,,,,,,,,,,,Matches
31,Fabian-Balbuena,PAR,DF,West Ham,27,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
32,George-Baldock,ENG,DF,Sheffield Utd,26,1993,,,,,,,,,,,,,,,,,,,,,,,Matches
33,Phil-Bardsley,SCO,DF,Burnley,34,1985,,,,,,,,,,,,,,,,,,,,,,,Matches
34,Ross-Barkley,ENG,MF,Chelsea,25,1993,,,,,,,,,,,,,,,,,,,,,,,Matches
35,Ashley-Barnes,AUT,FW,Burnley,29,1989,,,,,,,,,,,,,,,,,,,,,,,Matches
36,Harvey-Barnes,ENG,MFFW,Leicester City,21,1997,,,,,,,,,,,,,,,,,,,,,,,Matches
37,Chris-Basham,ENG,DF,Sheffield Utd,31,1988,,,,,,,,,,,,,,,,,,,,,,,Matches
38,Borja-Baston,ESP,MFFW,Aston Villa,26,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
39,Michy-Batshuayi,BEL,FW,Chelsea,25,1993,,,,,,,,,,,,,,,,,,,,,,,Matches
40,Jan-Bednarek,POL,DF,Southampton,23,1996,,,,,,,,,,,,,,,,,,,,,,,Matches
41,Hector-Bellerin,ESP,DF,Arsenal,24,1995,,,,,,,,,,,,,,,,,,,,,,,Matches
42,Ryan-Bennett,ENG,DF,Wolves,29,1990,,,,,,,,,,,,,,,,,,,,,,,Matches
43,Ryan-Bennett,ENG,DF,Leicester City,29,1990,,,,,,,,,,,,,,,,,,,,,,,Matches
44,Nabil-Bentaleb,ALG,MF,Newcastle Utd,24,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
45,Christian-Benteke,BEL,FW,Crystal Palace,28,1990,,,,,,,,,,,,,,,,,,,,,,,Matches
46,Johann-Berg-Gudmundsson,ISL,MF,Burnley,28,1990,,,,,,,,,,,,,,,,,,,,,,,Matches
47,Sander-Berge,NOR,MF,Sheffield Utd,21,1998,,,,,,,,,,,,,,,,,,,,,,,Matches
48,Steven-Bergwijn,NED,FWMF,Tottenham,21,1997,,,,,,,,,,,,,,,,,,,,,,,Matches
49,Bernard,BRA,MFFW,Everton,26,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
50,Bernardo,BRA,DF,Brighton,24,1995,,,,,,,,,,,,,,,,,,,,,,,Matches
51,Ryan-Bertrand,ENG,DF,Southampton,29,1989,,,,,,,,,,,,,,,,,,,,,,,Matches
52,Muhamed-Besic,BIH,MF,Sheffield Utd,26,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
53,Philip-Billing,DEN,MF,Bournemouth,23,1996,,,,,,,,,,,,,,,,,,,,,,,Matches
54,Yves-Bissouma,MLI,MF,Brighton,22,1996,,,,,,,,,,,,,,,,,,,,,,,Matches
55,Willy-Boly,FRA,DF,Wolves,28,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
