,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,TotDist,Cmp.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,KP,01-Mar,PPA,CrsPA,Prog,Live,Dead,FK,TB,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,PassLive,PassDead,Drib,Fld,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,OG,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Def Pen,Att Pen,Succ%,#Pl,Megs,Targ,Rec,Rec%,Miscon,Dispos,2CrdY,Fls,PKwon,PKcon,Recov,Won,Lost,Won%
1,10/08/2019,Sat,Premier League,Matchweek 1,Home,D 0–0,Crystal Palace,Everton,Y,LB,90,0,0,0,0,0,0,0,0,55,3,2,0,5,0,0,0,0,0,24,40,60,278,15,23,0,1,446,0,0,18,26,69.2,6,13,46.2,0,1,0,0,2,18,22,1,0,0,1,0,0,0,0,10,9,21,11,7,1,21,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,50,1,33.3,3,0,0,1,4,,6,0,4,2,0,0,0,16,15,93.8,2,0,0,0,0,0,5,1,3,25
2,18/08/2019,Sun,Premier League,Matchweek 2,Away,L 0–1,Crystal Palace,Sheffield Utd,Y,LB,90,0,0,0,0,0,0,0,0,89,10,2,0,4,0,0,0,2,0,70,81,86.4,480,52,80,1,1,1291,2,50,54,60,90,14,17,82.4,1,8,2,0,11,65,16,1,0,2,0,0,0,0,0,55,13,13,51,14,1,15,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,2,40,3,0,6,3,1,0,4,,1,1,2,0,100,1,0,61,55,90.2,0,1,0,0,0,0,10,0,3,0
3,24/08/2019,Sat,Premier League,Matchweek 3,Away,W 2–1,Crystal Palace,Manchester Utd,Y,LB,90,1,0,0,0,1,1,0,0,40,11,2,1,3,0.1,0.1,0,0,0,21,28,75,200,16,70,0,0,384,0,0,16,19,84.2,5,8,62.5,0,2,0,0,3,20,8,0,0,1,0,0,0,0,0,14,6,8,14,5,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,,0,18.2,7,4,0,0,1,,5,0,6,3,,0,0,19,17,89.5,0,0,0,1,0,0,4,1,1,50
5,31/08/2019,Sat,Premier League,Matchweek 4,Home,W 1–0,Crystal Palace,Aston Villa,Y,LB,90,0,0,0,0,2,0,0,0,65,14,3,0,1,0.1,0.1,0,2,0,40,52,76.9,232,33,154,0,1,654,1,33.3,34,40,85,5,9,55.6,1,2,4,1,6,47,5,0,0,0,2,0,0,0,0,38,5,9,36,11,0,5,0,0,1,2,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,3,50,10,3,1,0,0,,4,0,4,3,0,0,0,42,40,95.2,1,2,0,0,0,0,12,1,0,100
6,06/09/2019,Fri,Euro Qualifying,Group stage,Away,W 4–2,nl Netherlands,de Germany,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,09/09/2019,Mon,Euro Qualifying,Group stage,Away,W 4–0,nl Netherlands,ee Estonia,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14/09/2019,Sat,Premier League,Matchweek 5,Away,L 0–4,Crystal Palace,Tottenham,Y,LB,90,0,0,0,0,1,0,0,0,53,3,1,2,1,0,0,0,2,0,29,41,70.7,220,22,37,0,0,492,0,0,23,28,82.1,6,11,54.5,0,1,0,0,3,30,11,1,0,0,0,0,0,0,0,21,14,6,24,7,1,9,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,0,0,2,1,0,0,0,,2,0,5,2,,0,0,29,25,86.2,2,0,0,0,0,0,7,0,1,0
9,22/09/2019,Sun,Premier League,Matchweek 6,Home,D 1–1,Crystal Palace,Wolves,Y,LB,90,0,0,0,0,1,0,0,0,60,6,1,0,3,0,0,0,2,0,42,51,82.4,201,37,119,0,0,698,0,0,36,43,83.7,6,7,85.7,0,3,1,0,7,41,10,0,0,0,1,0,0,0,0,35,5,11,31,8,0,10,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,50,1,16.7,5,0,1,0,2,,1,0,3,4,,0,0,39,35,89.7,1,0,0,0,0,0,9,0,1,0
10,28/09/2019,Sat,Premier League,Matchweek 7,Home,W 2–0,Crystal Palace,Norwich City,Y,LB,90,0,0,0,0,1,0,0,0,64,16,1,0,0,0.1,0.1,0,1,0,50,60,83.3,432,45,204,1,1,924,0,,38,42,90.5,12,18,66.7,1,3,3,2,7,48,12,0,0,1,5,0,0,0,0,32,14,14,36,11,1,12,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,18.8,8,4,4,0,0,,0,0,1,1,100,1,0,47,44,93.6,1,1,0,0,0,0,7,0,0,
11,05/10/2019,Sat,Premier League,Matchweek 8,Away,W 2–1,Crystal Palace,West Ham,Y,LB,90,1,0,1,1,0,0,0,0,60,3,0,2,0,0.8,0,0.1,2,1,44,54,81.5,300,38,102,0,1,818,1,50,34,36,94.4,9,16,56.3,1,2,0,0,6,41,13,3,0,5,4,2,2,0,0,31,12,11,38,7,0,8,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,2,0,0,0,,3,0,3,2,0,0,0,37,37,100,0,0,0,0,0,0,4,1,0,100
