,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PSxG,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,AvgDist,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,PrgDist,Carries,PrgDist.1,Succ,TotDist,Cmp.1,Cmp%.1,Cmp.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,KP,1/3,PPA,CrsPA,Prog,Live,Dead,FK,TB,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,PassLive,PassDead,Drib,Fld,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,OG,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Def Pen,Att Pen,Succ%,#Pl,Megs,Targ,Rec,Rec%,Miscon,Dispos
1,2019-08-10,Sat,Premier League,Matchweek 1,Home,L 0–5,West Ham,Manchester City,Y,GK,90,8,5,4,.500,0,3.9,12,23,52.2,28,7,57.1,42.4,7,100.0,68.9,4,0,0.0,0,11.4,0,0,0,0,0,0,0,0,36,2,0,0,0,0.0,0.0,0.0,0,0,703,20,32,1,940,1,100.0,6,85.7,16,27,59.3,0,0,0,0,0,25,10,3,0,0,0,0,0,0,0,10,1,24,2,25,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.0,2,0,0,0,0,,0,0,34,0,100.0,1,0,15,15,100.0,0,0
2,2019-08-17,Sat,Premier League,Matchweek 2,Away,D 1–1,West Ham,Brighton,Y,GK,90,4,1,3,.750,0,1.0,5,31,16.1,21,2,85.7,60.3,14,92.9,65.4,13,0,0.0,2,13.3,0,0,0,0,0,0,0,0,40,1,0,0,0,0.0,0.0,0.0,0,0,250,16,66,0,326,0,,3,100.0,5,32,15.6,0,0,0,0,0,17,18,4,0,1,0,0,0,0,0,2,0,33,0,32,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,100.0,1,0,0,0,0,,0,0,36,0,,0,0,10,10,100.0,0,0
3,2019-08-24,Sat,Premier League,Matchweek 3,Away,W 3–1,West Ham,Watford,Y,GK,90,3,1,2,.667,0,0.8,10,23,43.5,20,9,60.0,44.6,11,100.0,67.0,12,2,16.7,0,12.6,0,0,0,0,0,0,0,0,32,1,0,0,0,0.0,0.0,0.0,0,0,618,15,52,0,772,0,,2,100.0,15,29,51.7,0,0,0,0,0,19,12,1,0,0,0,0,0,0,0,6,1,24,1,19,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,1,0,0,0,0,,0,0,31,0,,0,0,8,7,87.5,0,0
4,2019-08-27,Tue,EFL Cup,Second round,Away,W 2–0,West Ham,Newport County,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2019-08-31,Sat,Premier League,Matchweek 4,Home,W 2–0,West Ham,Norwich City,Y,GK,90,3,0,3,1.000,1,0.2,16,23,69.6,23,4,73.9,50.8,7,85.7,58.0,7,0,0.0,0,5.0,0,0,0,0,0,0,0,0,30,0,0,0,0,0.0,0.0,0.0,0,0,931,15,47,0,1105,0,,4,100.0,19,26,73.1,0,0,0,0,0,19,11,4,0,0,0,0,0,0,0,7,0,23,0,22,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,26,0,,0,0,12,12,100.0,0,0
6,2019-09-06,Fri,Euro Qualifying,Group stage,Away,L 0–2,pl Poland,si Slovenia,Y,GK,90,6,2,4,.667,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
7,2019-09-09,Mon,Euro Qualifying,Group stage,Home,D 0–0,pl Poland,at Austria,Y,GK,90,6,0,6,1.000,1,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
8,2019-09-16,Mon,Premier League,Matchweek 5,Away,D 0–0,West Ham,Aston Villa,Y,GK,90,4,0,4,1.000,1,0.3,13,25,52.0,24,4,70.8,48.2,8,100.0,69.4,12,0,0.0,0,8.0,0,0,0,0,0,0,0,0,34,0,0,0,0,0.0,0.0,0.0,0,0,812,12,9,0,947,0,0.0,6,100.0,13,25,52.0,0,0,0,0,0,19,13,5,0,1,0,0,0,0,0,5,1,26,1,26,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,31,0,,0,0,12,12,100.0,0,0
9,2019-09-22,Sun,Premier League,Matchweek 6,Home,W 2–0,West Ham,Manchester Utd,Y,GK,90,4,0,4,1.000,1,0.5,5,23,21.7,21,1,81.0,54.6,6,100.0,72.7,7,0,0.0,0,11.4,0,0,0,0,0,0,0,0,30,0,0,0,0,0.0,0.0,0.0,0,0,284,16,28,0,379,0,,3,100.0,6,24,25.0,0,1,0,0,0,19,8,2,0,0,0,0,0,0,0,4,1,22,2,22,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,27,0,,0,0,13,13,100.0,0,0
10,2019-09-25,Wed,EFL Cup,Third round,Away,L 0–4,West Ham,Oxford United,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
