,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,TotDist,Cmp.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,KP,1/3,PPA,CrsPA,Prog
1,2019-08-17,Sat,Premier League,Matchweek 2,Away,W 2–1,Bournemouth,Aston Villa,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2019-08-28,Wed,EFL Cup,Second round,Home,W 0 (3)–0 (0),Bournemouth,FG Rovers,Y,RB,120,0,0,0,0,4,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2019-08-31,Sat,Premier League,Matchweek 4,Away,L 1–3,Bournemouth,Leicester City,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2019-09-15,Sun,Premier League,Matchweek 5,Home,W 3–1,Bournemouth,Everton,Y,RB,90,0,0,0,0,0,0,0,0,48,11,4,1,5,0.0,0.0,0.0,0,0,22,35,62.9,147,28,48,0,1,335,1,25.0,20,25,80.0,1,6,16.7,0,0,0,0,0
6,2019-09-20,Fri,Premier League,Matchweek 6,Away,W 3–1,Bournemouth,Southampton,Y,RB,90,0,0,0,0,0,0,1,0,47,15,2,0,3,0.0,0.0,0.0,0,0,25,36,69.4,207,23,43,0,1,453,1,20.0,19,21,90.5,5,10,50.0,0,3,0,0,5
8,2019-09-28,Sat,Premier League,Matchweek 7,Home,D 2–2,Bournemouth,West Ham,Y,RB,88,0,0,0,0,0,0,0,0,66,3,0,2,2,0.0,0.0,0.1,1,0,41,55,74.5,268,51,110,1,1,737,0,0.0,38,44,86.4,3,8,37.5,1,1,0,0,3
9,2019-10-06,Sun,Premier League,Matchweek 8,Away,L 0–1,Bournemouth,Arsenal,Y,RB,78,0,0,0,0,1,1,1,0,45,23,3,0,2,0.0,0.0,0.0,0,0,26,33,78.8,80,26,78,1,2,362,0,0.0,25,26,96.2,1,4,25.0,0,0,0,0,0
11,2019-11-09,Sat,Premier League,Matchweek 12,Away,L 1–2,Bournemouth,Newcastle Utd,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2019-11-23,Sat,Premier League,Matchweek 13,Home,L 1–2,Bournemouth,Wolves,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2019-11-30,Sat,Premier League,Matchweek 14,Away,L 2–3,Bournemouth,Tottenham,Y,RB,90,0,0,0,0,1,0,0,0,60,9,0,0,2,0.1,0.1,0.0,3,0,39,55,70.9,330,40,179,4,4,656,0,0.0,34,39,87.2,5,14,35.7,0,2,0,0,4
