,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,TotDist,Cmp.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,KP,1/3,PPA,CrsPA,Prog,Live,Dead,FK,TB,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,PassLive,PassDead,Drib,Fld,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,OG,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Def Pen,Att Pen,Succ%,#Pl,Megs,Targ,Rec,Rec%,Miscon,Dispos,2CrdY,Fls,PKwon,PKcon,Recov,Won,Lost,Won%
1,2019-08-11,Sun,Premier League,Matchweek 1,Home,W 4–0,Manchester Utd,Chelsea,Y,RB,90,0,0,0,0,1,0,0,0,72,21,6,2,2,0.0,0.0,0.1,1,0,43,52,82.7,218,42,116,2,5,641,1,25.0,36,40,90.0,6,8,75.0,1,0,2,1,4,40,12,0,0,0,2,0,0,0,0,35,13,4,1,39,0,12,0,0,1,1,0,0,0,0,0,0,0,0,0,3,3,2,1,2,66.7,1,19.0,10,11,0,0,2,,5,0,5,1,40.0,2,0,43,37,86.0,0,0,0,0,0,0,6,0,0,
2,2019-08-19,Mon,Premier League,Matchweek 2,Away,D 1–1,Manchester Utd,Wolves,Y,RB,90,0,0,0,0,1,0,1,0,112,25,7,1,1,0.0,0.0,0.0,0,0,84,97,86.6,415,76,344,2,3,1160,2,50.0,79,88,89.8,3,5,60.0,0,12,1,1,8,86,11,2,0,0,1,0,0,0,0,74,10,13,5,82,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,2,50.0,2,24.0,8,14,3,0,1,,2,0,2,2,66.7,3,0,85,79,92.9,1,1,0,1,0,0,10,0,1,0.0
3,2019-08-24,Sat,Premier League,Matchweek 3,Home,L 1–2,Manchester Utd,Crystal Palace,Y,RB,90,0,0,0,0,0,0,1,0,83,7,2,1,1,0.0,0.0,0.1,4,0,65,73,89.0,396,56,212,1,1,1032,2,40.0,53,57,93.0,10,11,90.9,1,8,1,1,13,60,13,0,0,1,4,0,0,0,0,50,16,7,1,56,2,13,1,0,0,3,0,1,0,0,0,0,0,0,0,0,2,0,0,1,50.0,1,14.3,3,3,1,0,1,,2,0,2,2,100.0,1,0,53,50,94.3,2,1,0,1,0,0,12,0,1,0.0
4,2019-08-31,Sat,Premier League,Matchweek 4,Away,D 1–1,Manchester Utd,Southampton,Y,RB,90,0,0,0,0,2,0,0,0,90,23,11,1,3,0.1,0.1,0.2,3,0,48,66,72.7,319,46,115,3,5,776,0,0.0,42,54,77.8,6,9,66.7,2,2,1,1,8,49,17,1,0,0,4,0,0,0,0,34,15,17,1,45,3,16,0,0,0,2,0,1,0,0,0,0,0,0,0,6,8,2,1,5,71.4,2,39.1,16,3,4,0,3,,6,0,0,4,60.0,3,0,44,40,90.9,0,1,0,0,0,0,12,3,2,60.0
5,2019-09-14,Sat,Premier League,Matchweek 5,Home,W 1–0,Manchester Utd,Leicester City,Y,RB,90,0,0,0,0,0,0,0,0,56,20,4,2,6,0.0,0.0,0.1,2,0,33,39,84.6,306,34,79,2,3,473,0,0.0,31,34,91.2,2,4,50.0,1,2,3,0,8,32,7,0,0,0,1,0,0,0,0,25,8,6,0,31,1,7,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,2,0,3,100.0,0,30.0,9,8,3,0,6,,2,0,5,0,66.7,2,0,29,26,89.7,2,1,0,1,0,0,9,0,3,0.0
7,2019-09-22,Sun,Premier League,Matchweek 6,Away,L 0–2,Manchester Utd,West Ham,Y,RB,90,0,0,0,0,0,0,0,0,68,20,4,2,4,0.0,0.0,0.0,3,0,32,50,64.0,163,37,45,2,4,462,2,66.7,28,39,71.8,2,8,25.0,1,1,0,0,6,38,12,2,0,0,4,0,0,0,0,30,13,7,0,39,1,10,0,0,1,2,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0.0,3,20.0,9,7,4,0,4,,5,0,3,3,50.0,2,0,48,38,79.2,1,1,0,0,0,0,3,0,1,0.0
8,2019-09-25,Wed,EFL Cup,Third round,Home,W 1 (5)–1 (3),Manchester Utd,Rochdale,Y,RB,120,0,0,0,0,1,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,,,
10,2019-10-20,Sun,Premier League,Matchweek 9,Home,D 1–1,Manchester Utd,Liverpool,Y,WB,90,0,0,0,0,0,0,0,0,60,40,3,2,2,0.0,0.0,0.0,1,0,31,48,64.6,244,26,105,0,0,427,0,0.0,30,38,78.9,1,5,20.0,1,2,1,0,8,32,16,0,0,0,2,0,0,0,0,20,5,23,1,29,2,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,0,25.0,16,16,8,0,2,,4,0,4,1,,0,0,30,25,83.3,0,1,0,0,0,0,6,0,1,0.0
11,2019-10-24,Thu,Europa Lg,Group stage,Away,W 1–0,eng Manchester Utd,rs Partizan,Y,WB,59,0,0,0,0,0,0,0,0,42,14,1,1,1,0.0,0.0,0.1,1,0,28,36,77.8,140,31,30,4,5,344,2,50.0,25,29,86.2,1,3,33.3,1,2,0,0,3,29,7,0,0,1,2,0,0,0,0,21,9,6,2,27,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,50.0,1,42.9,5,6,3,0,1,,1,0,1,0,80.0,4,0,30,27,90.0,2,0,0,0,0,0,4,0,2,0.0
12,2019-10-27,Sun,Premier League,Matchweek 10,Away,W 3–1,Manchester Utd,Norwich City,Y,RB,90,0,0,0,0,0,0,1,0,87,15,10,3,3,0.0,0.0,0.0,0,0,46,63,73.0,283,43,76,2,3,642,3,27.3,40,46,87.0,3,6,50.0,0,4,0,0,4,49,14,0,0,0,1,0,0,0,0,37,17,9,3,44,2,14,0,0,1,0,0,0,0,0,0,0,0,0,0,6,4,4,2,4,66.7,2,33.3,5,7,3,0,2,,5,0,3,0,66.7,2,0,44,42,95.5,0,1,0,2,0,0,8,0,0,
13,2019-10-30,Wed,EFL Cup,Fourth round,Away,W 2–1,Manchester Utd,Chelsea,Y,DM,90,0,0,0,0,0,0,0,0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,
14,2019-11-02,Sat,Premier League,Matchweek 11,Away,L 0–1,Manchester Utd,Bournemouth,Y,RB,80,0,0,0,0,0,0,0,0,84,13,4,0,2,0.0,0.0,0.0,0,0,55,70,78.6,340,45,65,0,1,904,1,100.0,48,55,87.3,6,14,42.9,0,2,0,0,5,55,15,1,0,0,0,0,0,0,0,43,15,12,3,52,1,14,0,2,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,2,66.7,1,15.4,11,1,1,0,2,,6,0,3,0,0.0,0,0,45,44,97.8,0,0,0,0,0,0,12,1,0,100.0
15,2019-11-07,Thu,Europa Lg,Group stage,Home,W 3–0,eng Manchester Utd,rs Partizan,Y,RB,90,0,0,0,0,0,0,0,0,68,20,4,1,1,0.0,0.0,0.1,2,0,50,60,83.3,247,33,105,1,2,765,0,0.0,45,50,90.0,5,7,71.4,2,1,1,1,4,48,12,0,0,0,3,0,0,0,0,33,18,9,2,42,4,12,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,1,1,1,100.0,0,35.0,8,9,3,0,1,,3,0,1,0,50.0,1,0,38,37,97.4,0,0,0,0,0,0,10,2,2,50.0
16,2019-11-10,Sun,Premier League,Matchweek 12,Home,W 3–1,Manchester Utd,Brighton,Y,RB,90,0,0,0,0,0,0,0,0,58,17,7,2,3,0.0,0.0,0.1,1,0,41,46,89.1,355,33,90,1,2,634,2,100.0,35,40,87.5,4,4,100.0,1,6,0,0,3,37,9,1,0,0,2,0,0,0,0,34,8,4,1,36,1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,4,4,3,0,1,100.0,0,52.9,9,8,0,0,3,,2,0,0,3,50.0,1,0,31,26,83.9,1,0,0,0,0,0,8,1,1,50.0
