,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1
1,2019-08-11,Sun,Premier League,Matchweek 1,Home,L 0–1,Newcastle Utd,Arsenal,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2019-08-17,Sat,Premier League,Matchweek 2,Away,L 1–3,Newcastle Utd,Norwich City,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2019-08-28,Wed,EFL Cup,Second round,Home,L 1 (2)–1 (4),Newcastle Utd,Leicester City,Y,CB,120,0,0,0,0,1,0,0,0,,,,0,,,,,,,,,,,,,,
5,2019-08-31,Sat,Premier League,Matchweek 4,Home,D 1–1,Newcastle Utd,Watford,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2019-09-14,Sat,Premier League,Matchweek 5,Away,L 1–3,Newcastle Utd,Liverpool,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2019-10-06,Sun,Premier League,Matchweek 8,Home,W 1–0,Newcastle Utd,Manchester Utd,Y,CB,90,0,0,0,0,0,0,0,0,31,8,1,0,2,0.0,0.0,0.0,0,0,16,21,76.2,186,9,8,0,1
9,2019-10-19,Sat,Premier League,Matchweek 9,Away,L 0–1,Newcastle Utd,Chelsea,Y,CB,90,0,0,0,0,1,0,1,0,27,12,2,1,1,0.1,0.1,0.0,0,0,8,14,57.1,52,11,30,2,2
10,2019-10-27,Sun,Premier League,Matchweek 10,Home,D 1–1,Newcastle Utd,Wolves,Y,CB,90,0,0,0,0,0,0,1,0,48,13,2,4,6,0.0,0.0,0.0,0,0,28,33,84.8,277,21,79,0,0
11,2019-11-02,Sat,Premier League,Matchweek 11,Away,W 3–2,Newcastle Utd,West Ham,Y,CB,90,1,0,0,0,1,1,0,0,30,7,1,1,0,0.2,0.2,0.0,1,0,11,16,68.8,95,9,26,1,1
12,2019-11-09,Sat,Premier League,Matchweek 12,Home,W 2–1,Newcastle Utd,Bournemouth,Y,CB,90,1,0,0,0,2,2,0,0,33,9,0,0,2,0.7,0.7,0.0,0,0,14,20,70.0,42,14,25,0,0
13,2019-11-14,Thu,Friendlies (M),Friendlies (M),Home,W 3–1,ie Republic of Ireland,nz New Zealand,Y,CB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,
14,2019-11-18,Mon,Euro Qualifying,Group stage,Home,D 1–1,ie Republic of Ireland,dk Denmark,N,,45,0,0,0,0,3,0,0,0,,,,0,,,,,,,,,,,,,,
15,2019-11-25,Mon,Premier League,Matchweek 13,Away,L 0–2,Newcastle Utd,Aston Villa,Y,CB,90,0,0,0,0,0,0,0,0,33,11,0,1,0,0.0,0.0,0.0,0,0,25,26,96.2,148,19,44,0,0
16,2019-11-30,Sat,Premier League,Matchweek 14,Home,D 2–2,Newcastle Utd,Manchester City,Y,CB,90,0,0,0,0,0,0,0,0,32,10,1,1,4,0.0,0.0,0.0,0,0,11,15,73.3,66,9,7,0,0
17,2019-12-05,Thu,Premier League,Matchweek 15,Away,W 2–0,Newcastle Utd,Sheffield Utd,Y,CB,90,0,0,0,0,0,0,0,0,36,7,0,0,0,0.0,0.0,0.0,0,0,17,26,65.4,156,19,20,1,1
18,2019-12-08,Sun,Premier League,Matchweek 16,Home,W 2–1,Newcastle Utd,Southampton,Y,CB,45,0,0,0,0,1,1,0,0,24,6,2,2,0,0.0,0.0,0.0,0,0,15,16,93.8,133,9,1,0,0
20,2020-01-11,Sat,Premier League,Matchweek 22,Away,D 1–1,Newcastle Utd,Wolves,Y,CB,90,0,0,0,0,0,0,0,0,28,9,3,0,2,0.0,0.0,0.0,0,0,12,16,75.0,98,8,21,0,0
21,2020-01-14,Tue,FA Cup,Third round,Home,W 4–1,Newcastle Utd,Rochdale,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2020-01-18,Sat,Premier League,Matchweek 23,Home,W 1–0,Newcastle Utd,Chelsea,Y,CB,90,0,0,0,0,0,0,0,0,57,14,3,1,6,0.0,0.0,0.0,0,0,27,38,71.1,226,23,16,1,1
23,2020-01-21,Tue,Premier League,Matchweek 24,Away,D 2–2,Newcastle Utd,Everton,Y,CB,69,0,0,0,0,0,0,1,0,42,6,3,2,0,0.0,0.0,0.0,0,0,26,28,92.9,228,24,45,0,0
24,2020-01-25,Sat,FA Cup,Fourth round,Home,D 0–0,Newcastle Utd,Oxford United,Y,CB,90,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,
25,2020-02-01,Sat,Premier League,Matchweek 25,Home,D 0–0,Newcastle Utd,Norwich City,Y,CB,90,0,0,0,0,0,0,0,0,49,5,3,0,1,0.0,0.0,0.0,0,0,26,35,74.3,170,22,51,0,1
26,2020-02-04,Tue,FA Cup,Fourth round,Away,W 3–2,Newcastle Utd,Oxford United,N,,24,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,
27,2020-02-16,Sun,Premier League,Matchweek 26,Away,L 0–4,Newcastle Utd,Arsenal,Y,CB,82,0,0,0,0,1,0,0,0,25,5,1,1,1,0.4,0.4,0.0,0,0,17,18,94.4,179,18,19,0,0
