Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls2,Ast3,G+A,G-PK,G+A-PK,xG,npxG,xA,xG4,xA5,xG+xA,npxG6,npxG+xA,Matches
Mohamed Salah\Mohamed-Salah,eg EGY,FW,Liverpool,28,1992,1,1,90,3,0,2,2,0,0,3,0,3,1,1,1.9,0.4,0.2,1.87,0.25,2.12,0.39,0.64,Matches
Jamie Vardy\Jamie-Vardy,eng ENG,FW,Leicester City,33,1987,1,1,90,2,0,2,2,0,0,2,0,2,0,0,1.5,0,0,1.52,0.02,1.54,0,0.02,Matches
Jeff Hendrick\Jeff-Hendrick,ie IRL,MF,Newcastle Utd,28,1992,1,1,90,1,1,0,0,0,0,1,1,2,1,2,0.1,0.1,0.4,0.09,0.43,0.52,0.09,0.52,Matches
Leandro Trossard\Leandro-Trossard,be BEL,MFFW,Brighton,25,1994,1,1,90,1,0,0,0,0,0,1,0,1,1,1,0,0,0.4,0.03,0.36,0.39,0.03,0.39,Matches
Raúl Jiménez\Raul-Jimenez,mx MEX,MFFW,Wolves,29,1991,1,1,90,1,0,0,0,0,0,1,0,1,1,1,0.8,0.8,0.3,0.8,0.25,1.06,0.8,1.06,Matches
Alexandre Lacazette\Alexandre-Lacazette,fr FRA,FW,Arsenal,29,1991,1,1,86,1,0,0,0,0,0,1.05,0,1.05,1.05,1.05,0.5,0.5,0.2,0.48,0.26,0.73,0.48,0.73,Matches
Callum Wilson\Callum-Wilson,eng ENG,FW,Newcastle Utd,28,1992,1,1,84,1,0,0,0,0,0,1.07,0,1.07,1.07,1.07,0.6,0.6,0.1,0.65,0.13,0.78,0.65,0.78,Matches
Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,23,1997,1,1,88,1,0,0,0,0,0,1.02,0,1.02,1.02,1.02,0.2,0.2,0.1,0.19,0.12,0.32,0.19,0.32,Matches
Jorginho\Jorginho,it ITA,MF,Chelsea,28,1991,1,1,84,1,1,1,1,0,0,1.07,1.07,2.14,0,1.07,0.8,0,0.1,0.81,0.06,0.87,0,0.06,Matches
Reece James\Reece-James,eng ENG,DF,Chelsea,20,1999,1,1,90,1,1,0,0,0,0,1,1,2,1,2,0,0,0.1,0.03,0.11,0.14,0.03,0.14,Matches
Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,31,1989,1,1,90,1,0,0,0,1,0,1,0,1,1,1,0.4,0.4,0,0.42,0.05,0.47,0.42,0.47,Matches
Wilfried Zaha\Wilfried-Zaha,ci CIV,FW,Crystal Palace,27,1992,1,1,90,1,0,0,0,0,0,1,0,1,1,1,0.4,0.4,0,0.37,0,0.37,0.37,0.37,Matches
Romain Saïss\Romain-Saiss,ma MAR,DF,Wolves,30,1990,1,1,90,1,0,0,0,0,0,1,0,1,1,1,0.3,0.3,0,0.35,0,0.35,0.35,0.35,Matches
Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,26,1993,1,1,61,1,0,0,0,0,0,1.48,0,1.48,1.48,1.48,0.2,0.2,0,0.33,0,0.33,0.33,0.33,Matches
Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,29,1991,1,1,90,1,0,0,0,0,0,1,0,1,1,1,0.2,0.2,0,0.21,0,0.21,0.21,0.21,Matches
Timothy Castagne\Timothy-Castagne,be BEL,DF,Leicester City,24,1995,1,1,90,1,0,0,0,0,0,1,0,1,1,1,0.1,0.1,0,0.12,0,0.12,0.12,0.12,Matches
Gabriel Dos Santos\Gabriel-Dos-Santos,br BRA,DF,Arsenal,22,1997,1,1,90,1,0,0,0,0,0,1,0,1,1,1,0.1,0.1,0,0.1,0,0.1,0.1,0.1,Matches
