id,web_name,team,now_cost,element_type,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,total_points,dreamteam_count
1,Mustafi,1,51,2,1205,0,2,4,17,0,0,0,2,0,0,2,43,0
2,Bellerín,1,52,2,1156,1,0,4,18,0,0,0,2,0,0,4,44,0
3,Kolasinac,1,52,2,1694,0,2,4,26,0,0,0,4,0,0,1,55,0
4,Maitland-Niles,1,45,2,1382,0,2,3,22,0,0,0,4,1,0,3,41,1
5,Sokratis,1,48,2,1696,2,0,4,25,0,0,0,6,0,0,5,57,1
6,Monreal,1,50,2,270,0,0,1,4,0,0,0,0,0,0,1,10,0
7,Koscielny,1,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Mavropanos,1,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Jenkinson,1,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Holding,1,44,2,580,0,0,1,9,0,0,0,1,0,0,2,16,0
11,Aubameyang,1,109,4,3136,22,5,10,44,0,0,0,3,1,0,37,205,5
12,Lacazette,1,92,4,1867,10,7,5,25,0,0,0,8,0,0,16,118,2
13,Nketiah,1,43,4,628,2,0,3,9,0,0,0,0,1,0,1,25,0
14,Leno,1,48,1,2649,0,0,7,39,0,1,0,2,0,113,10,114,1
15,Özil,1,69,3,1439,1,3,5,20,0,0,0,1,0,0,1,53,0
16,Mkhitaryan,1,67,3,110,0,0,1,0,0,0,0,1,0,0,0,4,0
18,Xhaka,1,51,3,2586,1,2,10,31,0,0,0,10,0,0,2,73,0
19,Torreira,1,47,3,1501,1,1,3,23,0,0,0,7,0,0,0,46,0
20,Elneny,1,42,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6
21,Guendouzi,1,41,3,1744,0,2,3,31,0,0,0,6,0,0,2,48,0
106,David Luiz,1,57,2,2809,2,1,8,42,0,0,0,5,2,0,10,94,2
427,Martínez,1,44,1,770,0,0,3,9,0,0,0,2,0,34,1,33,0
467,Chambers,1,43,2,1102,1,1,3,15,0,0,0,5,0,0,5,42,0
469,Ceballos,1,52,3,1687,0,2,7,21,0,0,0,1,0,0,3,57,1
486,Cédric,1,48,2,1553,1,1,4,20,0,0,0,1,0,0,3,61,0
488,Pépé,1,89,3,2004,5,6,5,30,0,0,0,4,0,0,9,106,2
489,Nelson,1,53,3,622,1,1,2,7,0,0,0,1,0,0,0,30,0
490,Willock,1,47,3,838,1,1,1,16,0,0,0,2,0,0,0,41,0
504,Martinelli,1,42,4,656,3,1,2,9,0,0,0,1,0,0,5,39,0
515,Tierney,1,53,2,986,1,2,2,16,0,0,0,2,0,0,4,42,1
541,Saka,1,47,3,1746,1,6,7,18,0,0,0,6,0,0,4,71,0
576,Smith Rowe,1,43,3,96,0,0,1,0,0,0,0,0,0,0,0,4,0
585,John-Jules,1,44,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
617,Marí,1,44,2,113,0,0,1,0,0,0,0,0,0,0,1,8,0
636,Medley,1,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
646,Macey,1,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
647,Smith,1,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,El Mohamady,2,41,2,1024,1,1,2,28,0,0,0,1,0,0,7,39,0
23,Chester,2,42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Taylor,2,42,2,1088,0,0,2,25,0,0,0,2,0,0,0,22,0
25,Hause,2,44,2,1544,1,0,2,34,0,0,0,3,0,0,0,34,1
26,Kodjia,2,54,4,111,0,0,0,6,0,0,0,1,0,0,0,5,0
27,Nyland,2,43,1,537,0,0,1,12,0,0,0,0,0,15,0,15,0
28,Hourihane,2,57,3,1526,3,5,6,29,0,0,0,4,0,0,9,83,2
29,Grealish,2,59,3,3233,8,7,7,63,0,0,1,8,0,0,19,149,4
30,El Ghazi,2,52,3,2046,4,5,5,48,0,0,0,3,0,0,0,93,0
31,McGinn,2,52,3,2312,3,3,6,41,0,0,0,3,0,0,4,84,0
32,Green,2,48,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Bjarnason,2,45,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Davis,2,42,3,534,0,1,1,7,0,0,0,0,0,0,0,25,0
35,Lansbury,2,44,3,190,0,0,0,6,0,0,0,0,0,0,0,12,0
36,Jota,2,57,3,329,0,1,2,5,0,0,0,0,0,0,0,17,0
94,Heaton,2,43,1,1794,0,0,4,35,1,0,0,0,0,67,3,59,1
120,Drinkwater,2,44,3,317,0,0,0,11,0,0,0,1,0,0,0,6,0
309,Targett,2,43,2,2291,1,3,5,40,0,0,0,4,0,0,10,80,1
428,Wesley,2,54,4,1782,5,1,6,31,0,0,1,3,0,0,7,67,1
429,Steer,2,43,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0
445,Mings,2,44,2,2902,2,2,6,53,0,0,0,7,0,0,9,90,1
452,Konsa,2,43,2,2038,1,2,5,39,0,0,0,3,0,0,4,65,1
455,Engels,2,43,2,1446,1,0,3,32,0,0,0,1,0,0,4,42,1
458,Guilbert,2,43,2,2038,0,2,6,36,0,0,0,7,0,0,4,62,1
465,Trézéguet,2,52,3,1936,6,2,6,29,0,0,0,2,1,0,7,98,2
470,Douglas Luiz,2,43,3,2604,3,2,8,51,0,0,0,8,0,0,5,90,0
474,Kalinic,2,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
491,Nakamba,2,44,3,1826,0,0,1,37,0,0,0,5,0,0,0,43,0
600,Vassilev,2,45,3,47,0,0,0,1,0,0,0,0,0,0,0,4,0
603,Reina,2,42,1,1080,0,0,2,20,0,1,0,1,0,33,4,41,2
613,Samatta,2,51,4,940,1,0,4,18,0,0,0,1,0,0,2,29,0
623,Bastón,2,53,4,16,0,0,0,2,0,0,0,0,0,0,0,2,0
659,Hayden,2,45,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
